Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
PB;2515401;Seridó;2;4;2;3;2;
PB;2515500;Serra Branca;2;2;4;3;2;
PB;2515609;Serra da Raiz;2;2;4;3;2;
PB;2515708;Serra Grande;2;2;3;2;2;
PB;2515807;Serra Redonda;2;3;3;2;3;
PB;2515906;Serraria;3;3;2;3;2;
PB;2515930;Sertãozinho;3;2;4;2;2;
PB;2515971;Sobrado;3;3;2;2;3;
PB;2516003;Solânea;;2;2;4;5;
PB;2516102;Soledade;2;4;2;3;4;
PB;2516151;Sossêgo;2;3;3;2;2;
PB;2516201;Sousa;3;4;3;2;5;
PB;2516300;Sumé;3;3;3;3;2;
PB;2516409;Campo de Santana;2;3;;;3;
PB;2516508;Taperoá;3;2;2;3;3;
PB;2516607;Tavares;2;2;3;2;2;
PB;2516706;Teixeira;2;2;4;2;3;
PB;2516755;Tenório;2;2;3;2;2;
PB;2516805;Triunfo;2;2;2;3;2;
PB;2516904;Uiraúna;2;4;3;2;2;
PB;2517001;Umbuzeiro;2;1;4;2;3;
PB;2517100;Várzea;2;2;3;3;2;
PB;2517209;Vieirópolis;2;2;2;2;2;
PB;2517407;Zabelê;2;2;2;2;2;
PE;2600054;Abreu e Lima;4;2;5;3;6;
PE;2600104;Afogados da Ingazeira;3;3;3;3;3;
PE;2600203;Afrânio;1;3;3;2;2;
PE;2600302;Agrestina;3;2;2;3;3;
PE;2600401;Água Preta;2;4;3;3;4;
PE;2600500;Águas Belas;4;2;2;2;7;
PE;2600609;Alagoinha;2;2;4;2;1;
PE;2600708;Aliança;3;1;2;4;1;
PE;2600807;Altinho;4;3;3;2;2;
PE;2600906;Amaraji;3;3;4;2;3;
PE;2601003;Angelim;2;2;4;2;3;
PE;2601052;Araçoiaba;3;2;4;3;3;
PE;2601102;Araripina;3;2;3;3;2;
PE;2601201;Arcoverde;4;2;2;;3;
PE;2601300;Barra de Guabiraba;4;2;2;2;3;
PE;2601409;Barreiros;3;3;4;4;7;
PE;2601508;Belém de Maria;3;2;2;2;4;
PE;2601607;Belém de São Francisco;2;2;4;3;3;
PE;2601706;Belo Jardim;3;3;4;5;6;
PE;2601805;Betânia;1;3;4;2;4;
PE;2601904;Bezerros;2;3;3;2;4;
PE;2602001;Bodocó;3;4;2;2;2;
PE;2602100;Bom Conselho;4;2;4;;5;
PE;2602209;Bom Jardim;3;4;2;4;4;
PE;2602308;Bonito;3;3;3;2;2;
PE;2602407;Brejão;3;2;2;2;2;
PE;2602506;Brejinho;2;2;2;2;2;
PE;2602605;Brejo da Madre de Deus;2;2;3;;5;
PE;2602704;Buenos Aires;2;2;2;2;2;
PE;2602803;Buíque;3;4;5;3;;
PE;2602902;Cabo de Santo Agostinho;5;3;3;3;6;
PE;2603009;Cabrobó;4;2;2;2;3;
PE;2603108;Cachoeirinha;3;2;3;3;2;
PE;2603207;Caetés;2;3;2;2;2;
PE;2603306;Calçado;3;4;2;2;2;
PE;2603405;Calumbi;3;2;2;3;2;
PE;2603454;Camaragibe;3;4;3;;5;
PE;2603504;Camocim de São Félix;2;2;2;2;4;
PE;2603603;Camutanga;2;2;2;2;3;
PE;2603702;Canhotinho;2;2;2;2;2;
PE;2603801;Capoeiras;3;2;4;2;4;
PE;2603900;Carnaíba;2;2;3;3;2;
PE;2603926;Carnaubeira da Penha;2;3;;2;2;
PE;2604007;Carpina;4;4;3;5;4;
PE;2604106;Caruaru;5;2;3;7;6;
PE;2604155;Casinhas;2;2;3;5;2;
PE;2604205;Catende;4;3;3;5;5;
PE;2604304;Cedro;2;2;2;2;2;
PE;2604403;Chã de Alegria;1;3;3;2;2;
PE;2604502;Chã Grande;2;2;2;2;3;
PE;2604601;Condado;3;2;4;3;4;
PE;2604700;Correntes;4;2;2;3;2;
PE;2604809;Cortês;3;2;2;;4;
PE;2604908;Cumaru;2;3;3;2;2;
PE;2605004;Cupira;4;2;3;;3;
PE;2605103;Custódia;3;2;3;3;2;
PE;2605152;Dormentes;2;2;2;2;2;
PE;2605202;Escada;7;2;3;5;4;
PE;2605301;Exu;2;2;4;3;2;
PE;2605400;Feira Nova;3;2;2;2;2;
PE;2605459;Fernando de Noronha;;;;;;
PE;2605509;Ferreiros;2;2;2;2;2;
PE;2605608;Flores;2;2;3;3;2;
PE;2605707;Floresta;3;2;3;3;3;
PE;2605806;Frei Miguelinho;2;3;4;3;3;
PE;2605905;Gameleira;2;2;4;4;3;
PE;2606002;Garanhuns;5;5;;5;7;
PE;2606101;Glória do Goitá;3;2;3;2;3;
PE;2606200;Goiana;2;5;3;3;4;
PE;2606309;Granito;2;2;2;2;2;
PE;2606408;Gravatá;4;3;4;4;4;
PE;2606507;Iati;3;3;2;4;3;
PE;2606606;Ibimirim;3;3;2;2;2;
PE;2606705;Ibirajuba;2;2;3;2;2;
PE;2606804;Igarassu;4;2;3;5;3;
PE;2606903;Iguaraci;2;2;2;2;2;
PE;2607000;Inajá;2;2;2;4;3;
PE;2607109;Ingazeira;2;2;2;2;2;
PE;2607208;Ipojuca;3;3;4;;6;
PE;2607307;Ipubi;2;2;4;2;2;
PE;2607406;Itacuruba;2;2;2;2;2;
PE;2607505;Itaíba;2;2;2;3;2;
PE;2607604;Itamaracá;4;4;;;6;
PE;2607653;Itambé;2;4;2;6;3;
PE;2607703;Itapetim;2;2;2;3;2;
PE;2607752;Itapissuma;2;3;2;4;2;
PE;2607802;Itaquitinga;3;3;3;3;7;
PE;2607901;Jaboatão dos Guararapes;8;5;;;10;
PE;2607950;Jaqueira;2;2;2;;2;
PE;2608008;Jataúba;2;2;2;3;3;
PE;2608057;Jatobá;3;2;2;4;3;
PE;2608107;João Alfredo;2;2;2;2;2;
PE;2608206;Joaquim Nabuco;2;3;2;3;2;
PE;2608255;Jucati;2;2;2;2;2;
PE;2608305;Jupi;2;1;4;2;1;
PE;2608404;Jurema;2;2;2;2;2;
PE;2608453;Lagoa do Carro;3;3;4;2;3;
PE;2608503;Lagoa do Itaenga;2;2;3;5;3;
PE;2608602;Lagoa do Ouro;2;2;2;2;2;
PE;2608701;Lagoa dos Gatos;2;1;2;3;4;
PE;2608750;Lagoa Grande;2;2;2;4;2;
PE;2608800;Lajedo;2;4;4;3;3;
PE;2608909;Limoeiro;2;2;3;2;4;
PE;2609006;Macaparana;3;4;3;2;3;
PE;2609105;Machados;2;2;2;3;2;
PE;2609154;Manari;2;1;2;2;2;
PE;2609204;Maraial;3;2;5;;4;
PE;2609303;Mirandiba;3;2;4;3;;
PE;2609402;Moreno;2;3;;4;7;
PE;2609501;Nazaré da Mata;3;3;2;4;;
PE;2609600;Olinda;6;6;4;9;9;
PE;2609709;Orobó;3;2;3;3;2;
PE;2609808;Orocó;2;2;2;4;3;
PE;2609907;Ouricuri;3;4;6;7;4;
PE;2610004;Palmares;4;5;;3;9;
PE;2610103;Palmeirina;2;3;2;2;3;
PE;2610202;Panelas;3;2;2;3;2;
PE;2610301;Paranatama;3;2;2;2;3;
PE;2610400;Parnamirim;3;4;4;2;2;
PE;2610509;Passira;2;2;3;2;4;
PE;2610608;Paudalho;3;3;4;3;4;
PE;2610707;Paulista;3;5;4;6;10;
PE;2610806;Pedra;4;3;2;3;2;
PE;2610905;Pesqueira;3;4;3;;2;
PE;2611002;Petrolândia;2;2;3;5;5;
PE;2611101;Petrolina;3;3;4;5;6;
PE;2611200;Poção;2;3;4;3;2;
PE;2611309;Pombos;2;3;5;3;6;
PE;2611408;Primavera;2;4;6;6;4;
PE;2611507;Quipapá;2;3;2;2;2;
PE;2611533;Quixaba;2;2;2;2;2;
PE;2611606;Recife;7;7;8;8;;
PE;2611705;Riacho das Almas;2;2;2;3;3;
PE;2611804;Ribeirão;3;3;4;4;4;
PE;2611903;Rio Formoso;2;4;2;3;4;
PE;2612000;Sairé;2;2;2;2;2;
PE;2612109;Salgadinho;2;2;2;2;2;
PE;2612208;Salgueiro;5;4;2;3;5;
PE;2612307;Saloá;3;2;2;3;2;
PE;2612406;Sanharó;2;3;2;3;2;
PE;2612455;Santa Cruz;2;3;3;2;2;
PE;2612471;Santa Cruz da Baixa Verde;3;2;2;2;2;
PE;2612505;Santa Cruz do Capibaribe;4;2;3;;3;
PE;2612554;Santa Filomena;2;2;6;;3;
PE;2612604;Santa Maria da Boa Vista;4;2;;6;3;
PE;2612703;Santa Maria do Cambucá;2;2;2;2;3;
PE;2612802;Santa Terezinha;2;2;2;2;4;
PE;2612901;São Benedito do Sul;4;1;2;2;2;
PE;2613008;São Bento do Una;2;3;2;3;4;
PE;2613107;São Caitano;3;2;7;4;7;
PE;2613206;São João;2;1;4;4;3;
PE;2613305;São Joaquim do Monte;2;3;3;2;3;
PE;2613404;São José da Coroa Grande;3;3;3;5;4;
PE;2613503;São José do Belmonte;2;2;3;2;2;
PE;2613602;São José do Egito;2;3;2;2;4;
PE;2613701;São Lourenço da Mata;5;6;6;5;7;
PE;2613800;São Vicente Ferrer;2;2;2;2;3;
PE;2613909;Serra Talhada;3;3;2;3;4;
PE;2614006;Serrita;4;2;3;3;2;
PE;2614105;Sertânia;3;2;2;3;2;
PE;2614204;Sirinhaém;3;2;4;2;4;
PE;2614303;Moreilândia;4;3;2;2;2;
PE;2614402;Solidão;2;2;3;2;2;
PE;2614501;Surubim;4;3;6;3;7;
PE;2614600;Tabira;2;3;4;3;2;
PE;2614709;Tacaimbó;2;2;3;2;3;
PE;2614808;Tacaratu;4;2;2;3;2;
PE;2614857;Tamandaré;3;2;3;3;4;
PE;2615003;Taquaritinga do Norte;2;2;3;3;3;
PE;2615102;Terezinha;1;2;2;2;1;
PE;2615201;Terra Nova;1;2;2;2;2;
PE;2615300;Timbaúba;3;2;;5;5;
PE;2615409;Toritama;2;4;4;3;5;
PE;2615508;Tracunhaém;3;4;3;5;3;
PE;2615607;Trindade;2;2;2;2;3;
PE;2615706;Triunfo;2;3;2;2;2;
PE;2615805;Tupanatinga;2;2;2;4;3;
PE;2615904;Tuparetama;2;2;3;2;3;
PE;2616001;Venturosa;2;2;3;2;2;
PE;2616100;Verdejante;2;2;4;2;2;
PE;2616183;Vertente do Lério;3;2;2;3;3;
PE;2616209;Vertentes;2;2;2;2;3;
PE;2616308;Vicência;3;3;3;3;3;
PE;2616407;Vitória de Santo Antão;4;4;4;5;7;
PE;2616506;Xexéu;2;4;2;;2;
PE;2699919;Muribeca;;;;;;
PE;2699929;Nossa Senhora do Ó de Goyanna;;;;;;
PE;2699939;Cimbres;;;;;;
PI;2200053;Acauã;2;2;3;2;2;
PI;2200103;Agricolândia;2;2;3;2;2;
PI;2200202;Água Branca;3;2;2;4;3;
PI;2200251;Alagoinha do Piauí;2;2;2;2;2;
PI;2200277;Alegrete do Piauí;1;1;2;2;2;
PI;2200301;Alto Longá;2;2;2;2;2;
PI;2200400;Altos;7;3;4;2;3;
PI;2200459;Alvorada do Gurguéia;3;2;2;2;2;
PI;2200509;Amarante;5;4;3;4;3;
PI;2200608;Angical do Piauí;3;3;;2;2;
PI;2200707;Anísio de Abreu;2;;3;2;2;
PI;2200806;Antônio Almeida;2;2;2;2;2;
PI;2200905;Aroazes;2;2;2;2;2;
PI;2200954;Aroeiras de Itaim;;;;;2;
PI;2201002;Arraial;3;2;3;3;2;
PI;2201051;Assunção do Piauí;2;2;4;2;2;
PI;2201101;Avelino Lopes;3;2;3;2;2;
PI;2201150;Baixa Grande do Ribeiro;2;2;3;2;2;
PI;2201176;Barra D'Alcântara;2;1;2;2;2;
PI;2201200;Barras;3;3;3;2;5;
PI;2201309;Barreiras do Piauí;2;3;2;3;2;
PI;2201408;Barro Duro;4;3;2;3;3;
PI;2201507;Batalha;3;3;;3;2;
PI;2201556;Bela Vista do Piauí;2;1;1;2;2;
PI;2201572;Belém do Piauí;2;1;4;2;3;
PI;2201606;Beneditinos;4;3;4;2;1;
PI;2201705;Bertolínia;2;2;2;2;2;
PI;2201739;Betânia do Piauí;1;2;4;2;3;
PI;2201770;Boa Hora;4;2;3;3;3;
PI;2201804;Bocaina;2;2;2;2;2;
PI;2201903;Bom Jesus;2;4;3;3;3;
PI;2201919;Bom Princípio do Piauí;2;3;4;3;4;
PI;2201929;Bonfim do Piauí;2;2;2;3;2;
PI;2201945;Boqueirão do Piauí;3;3;3;2;3;
PI;2201960;Brasileira;2;3;2;2;2;
PI;2201988;Brejo do Piauí;1;2;3;3;3;
PI;2202000;Buriti dos Lopes;3;3;2;2;2;
PI;2202026;Buriti dos Montes;2;2;3;3;2;
PI;2202059;Cabeceiras do Piauí;2;2;2;2;3;
PI;2202075;Cajazeiras do Piauí;2;2;2;2;2;
PI;2202083;Cajueiro da Praia;2;4;;2;5;
PI;2202091;Caldeirão Grande do Piauí;2;3;2;2;2;
PI;2202109;Campinas do Piauí;2;2;2;2;3;
PI;2202117;Campo Alegre do Fidalgo;2;2;2;3;4;
PI;2202133;Campo Grande do Piauí;2;3;2;2;2;
PI;2202174;Campo Largo do Piauí;3;2;2;3;2;
PI;2202208;Campo Maior;4;5;3;;5;
PI;2202251;Canavieira;2;3;2;2;4;
PI;2202307;Canto do Buriti;5;3;3;3;2;
PI;2202406;Capitão de Campos;4;3;3;2;2;
PI;2202455;Capitão Gervásio Oliveira;3;2;3;2;2;
PI;2202505;Caracol;2;2;2;2;3;
PI;2202539;Caraúbas do Piauí;2;3;2;2;2;
PI;2202554;Caridade do Piauí;2;2;3;2;1;
PI;2202604;Castelo do Piauí;2;2;4;2;2;
PI;2202653;Caxingó;2;2;2;3;2;
PI;2202703;Cocal;3;4;2;3;3;
PI;2202711;Cocal de Telha;;2;3;2;2;
PI;2202729;Cocal dos Alves;2;2;2;2;2;
PI;2202737;Coivaras;3;3;2;2;2;
PI;2202752;Colônia do Gurguéia;3;2;2;2;4;
PI;2202778;Colônia do Piauí;2;2;2;2;2;
PI;2202802;Conceição do Canindé;3;2;2;2;3;
PI;2202851;Coronel José Dias;2;2;2;3;2;
PI;2202901;Corrente;3;5;2;3;3;
PI;2203008;Cristalândia do Piauí;2;2;2;2;3;
PI;2203107;Cristino Castro;3;3;5;4;3;
PI;2203206;Curimatá;2;3;2;2;2;
PI;2203230;Currais;4;3;;7;4;
PI;2203255;Curralinhos;3;2;2;4;3;
PI;2203271;Curral Novo do Piauí;2;2;1;4;1;
PI;2203305;Demerval Lobão;3;3;5;3;2;
PI;2203354;Dirceu Arcoverde;3;2;2;2;2;
PI;2203404;Dom Expedito Lopes;2;2;4;2;3;
PI;2203420;Domingos Mourão;2;1;2;3;3;
PI;2203453;Dom Inocêncio;2;3;4;2;2;
PI;2203503;Elesbão Veloso;4;2;2;2;2;
PI;2203602;Eliseu Martins;2;2;3;2;3;
PI;2203701;Esperantina;5;5;4;3;4;
PI;2203750;Fartura do Piauí;2;;2;2;3;
PI;2203800;Flores do Piauí;2;3;2;2;2;
PI;2203859;Floresta do Piauí;2;2;2;2;2;
PI;2203909;Floriano;5;2;3;4;3;
PI;2204006;Francinópolis;4;3;4;2;2;
PI;2204105;Francisco Ayres;2;2;2;2;2;
PI;2204154;Francisco Macedo;2;2;3;2;2;
PI;2204204;Francisco Santos;2;2;2;2;2;
PI;2204303;Fronteiras;3;3;2;2;3;
PI;2204352;Geminiano;3;2;3;3;3;
PI;2204402;Gilbués;3;3;3;2;3;
PI;2204501;Guadalupe;3;2;3;2;2;
PI;2204550;Guaribas;2;2;2;2;2;
PI;2204600;Hugo Napoleão;4;3;2;2;2;
PI;2204659;Ilha Grande;4;6;5;2;3;
PI;2204709;Inhuma;3;3;2;3;2;
PI;2204808;Ipiranga do Piauí;2;2;3;2;2;
PI;2204907;Isaías Coelho;3;2;2;2;2;
PI;2205003;Itainópolis;2;2;2;3;4;
PI;2205102;Itaueira;2;2;3;2;2;
PI;2205151;Jacobina do Piauí;2;2;3;2;2;
PI;2205201;Jaicós;4;2;3;3;3;
PI;2205250;Jardim do Mulato;2;2;2;3;2;
PI;2205276;Jatobá do Piauí;3;2;3;2;3;
PI;2205300;Jerumenha;4;3;2;3;3;
PI;2205359;João Costa;2;3;2;2;2;
PI;2205409;Joaquim Pires;3;2;2;2;3;
PI;2205458;Joca Marques;2;2;2;3;2;
PI;2205508;José de Freitas;7;6;6;3;4;
PI;2205516;Juazeiro do Piauí;3;3;2;2;;
PI;2205524;Júlio Borges;2;2;2;2;2;
PI;2205532;Jurema;2;2;2;2;1;
PI;2205540;Lagoinha do Piauí;2;1;2;2;2;
PI;2205557;Lagoa Alegre;3;2;5;3;2;
PI;2205565;Lagoa do Barro do Piauí;2;3;4;2;3;
PI;2205573;Lagoa de São Francisco;2;3;2;2;2;
PI;2205581;Lagoa do Piauí;4;2;3;3;2;
PI;2205599;Lagoa do Sítio;2;2;2;2;2;
PI;2205607;Landri Sales;2;2;2;2;3;
PI;2205706;Luís Correia;5;4;3;3;6;
PI;2205805;Luzilândia;2;3;4;3;4;
PI;2205854;Madeiro;2;3;3;2;3;
PI;2205904;Manoel Emídio;2;2;2;2;3;
PI;2205953;Marcolândia;2;2;2;2;2;
PI;2206001;Marcos Parente;2;3;3;2;3;
PI;2206050;Massapê do Piauí;2;2;2;2;2;
PI;2206100;Matias Olímpio;3;2;5;4;4;
PI;2206209;Miguel Alves;4;4;3;3;4;
PI;2206308;Miguel Leão;2;2;3;3;2;
PI;2206357;Milton Brandão;2;2;2;2;2;
PI;2206407;Monsenhor Gil;3;2;2;;2;
PI;2206506;Monsenhor Hipólito;2;3;2;2;2;
PI;2206605;Monte Alegre do Piauí;2;2;2;2;2;
PI;2206654;Morro Cabeça no Tempo;3;3;2;2;3;
PI;2206670;Morro do Chapéu do Piauí;2;2;3;2;2;
PI;2206696;Murici dos Portelas;3;2;3;2;2;
PI;2206704;Nazaré do Piauí;3;2;2;2;2;
PI;2206720;Nazária;;;;;;
PI;2206753;Nossa Senhora de Nazaré;3;2;2;2;2;
PI;2206803;Nossa Senhora dos Remédios;3;2;3;2;2;
PI;2206902;Novo Oriente do Piauí;3;4;2;3;2;
PI;2206951;Novo Santo Antônio;2;2;3;2;2;
PI;2207009;Oeiras;3;2;4;2;2;
PI;2207108;Olho D'Água do Piauí;2;2;2;1;2;
PI;2207207;Padre Marcos;3;3;2;3;2;
PI;2207306;Paes Landim;2;2;2;2;2;
PI;2207355;Pajeú do Piauí;2;2;2;2;2;
PI;2207405;Palmeira do Piauí;2;2;2;2;2;
PI;2207504;Palmeirais;3;2;2;3;2;
PI;2207553;Paquetá;2;1;2;2;2;
PI;2207603;Parnaguá;3;2;2;3;2;
PI;2207702;Parnaíba;4;5;6;4;4;
PI;2207751;Passagem Franca do Piauí;3;2;3;3;2;
PI;2207777;Patos do Piauí;2;2;2;2;2;
PI;2207793;Pau D'Arco do Piauí;3;3;2;3;3;
PI;2207801;Paulistana;3;2;2;2;3;
PI;2207850;Pavussu;2;2;2;2;2;
PI;2207900;Pedro II;2;2;3;3;2;
PI;2207934;Pedro Laurentino;2;2;3;2;2;
PI;2207959;Nova Santa Rita;3;2;2;2;2;
PI;2208007;Picos;4;3;3;4;3;
PI;2208106;Pimenteiras;3;2;3;2;2;
PI;2208205;Pio IX;2;2;2;3;2;
PI;2208304;Piracuruca;4;4;2;2;3;
PI;2208403;Piripiri;4;2;4;4;5;
PI;2208502;Porto;2;2;2;3;2;
PI;2208551;Porto Alegre do Piauí;2;2;2;2;2;
PI;2208601;Prata do Piauí;2;2;;2;2;
PI;2208650;Queimada Nova;3;2;2;4;2;
PI;2208700;Redenção do Gurguéia;3;3;2;3;2;
PI;2208809;Regeneração;3;2;2;2;3;
PI;2208858;Riacho Frio;3;2;3;2;4;
PI;2208874;Ribeira do Piauí;3;1;2;3;2;
PI;2208908;Ribeiro Gonçalves;2;2;2;2;2;
PI;2209005;Rio Grande do Piauí;2;1;2;2;2;
PI;2209104;Santa Cruz do Piauí;3;3;2;2;2;
PI;2209153;Santa Cruz dos Milagres;2;2;;2;4;
PI;2209203;Santa Filomena;2;2;3;2;4;
PI;2209302;Santa Luz;2;2;2;2;3;
PI;2209351;Santana do Piauí;2;2;3;4;2;
PI;2209377;Santa Rosa do Piauí;2;2;2;2;2;
PI;2209401;Santo Antônio de Lisboa;2;2;2;3;2;
PI;2209450;Santo Antônio dos Milagres;2;2;3;2;2;
PI;2209500;Santo Inácio do Piauí;3;2;2;2;1;
PI;2209559;São Braz do Piauí;3;1;4;2;3;
PI;2209609;São Félix do Piauí;2;2;4;2;2;
PI;2209658;São Francisco de Assis do Piauí;2;2;2;3;2;
PI;2209708;São Francisco do Piauí;3;2;2;2;2;
PI;2209757;São Gonçalo do Gurguéia;3;3;3;4;2;
PI;2209807;São Gonçalo do Piauí;2;2;2;2;2;
PI;2209856;São João da Canabrava;2;2;2;2;2;
PI;2209872;São João da Fronteira;2;2;3;2;4;
PI;2209906;São João da Serra;3;3;2;2;2;
PI;2209955;São João da Varjota;2;1;1;3;2;
PI;2209971;São João do Arraial;;2;2;3;3;
PI;2210003;São João do Piauí;3;2;3;3;3;
PI;2210052;São José do Divino;2;2;1;2;2;
PI;2210102;São José do Peixe;3;3;3;2;2;
PI;2210201;São José do Piauí;2;1;2;2;2;
PI;2210300;São Julião;2;1;2;3;2;
PI;2210359;São Lourenço do Piauí;2;2;3;2;2;
PI;2210375;São Luis do Piauí;2;2;2;2;2;
PI;2210383;São Miguel da Baixa Grande;2;2;3;2;4;
PI;2210391;São Miguel do Fidalgo;2;2;4;2;2;
PI;2210409;São Miguel do Tapuio;2;3;3;;3;
PI;2210508;São Pedro do Piauí;3;3;2;2;3;
PI;2210607;São Raimundo Nonato;2;3;6;4;3;
PI;2210623;Sebastião Barros;2;2;3;2;2;
PI;2210631;Sebastião Leal;2;2;2;2;2;
PI;2210656;Sigefredo Pacheco;4;2;2;3;3;
PI;2210706;Simões;2;2;4;2;1;
PI;2210805;Simplício Mendes;2;2;5;3;2;
PI;2210904;Socorro do Piauí;3;5;3;2;2;
PI;2210938;Sussuapara;2;2;3;2;3;
PI;2210953;Tamboril do Piauí;2;2;2;2;2;
PI;2210979;Tanque do Piauí;2;1;2;2;2;
PI;2211001;Teresina;9;6;7;7;12;
PI;2211100;União;4;2;4;3;8;
PI;2211209;Uruçuí;3;2;4;2;4;
PI;2211308;Valença do Piauí;4;2;;4;3;
PI;2211357;Várzea Branca;2;2;2;3;3;
PI;2211407;Várzea Grande;3;2;2;3;2;
PI;2211506;Vera Mendes;2;2;2;2;2;
PI;2211605;Vila Nova do Piauí;1;1;2;2;2;
PI;2211704;Wall Ferraz;2;2;2;2;2;
PR;4100103;Abatiá;4;2;2;3;3;
PR;4100202;Adrianópolis;3;5;2;2;2;
PR;4100301;Agudos do Sul;4;3;3;3;2;
PR;4100400;Almirante Tamandaré;5;2;6;4;4;
PR;4100459;Altamira do Paraná;2;2;2;1;2;
PR;4100509;Altônia;2;2;3;3;2;
PR;4100608;Alto Paraná;2;3;2;2;4;
PR;4100707;Alto Piquiri;2;2;;3;4;
PR;4100806;Alvorada do Sul;3;2;2;2;2;
PR;4100905;Amaporã;2;2;2;2;2;
PR;4101002;Ampére;2;2;3;3;4;
PR;4101051;Anahy;2;2;2;2;2;
PR;4101101;Andirá;2;3;2;3;2;
PR;4101150;Ângulo;3;2;2;;2;
PR;4101200;Antonina;5;5;4;5;4;
PR;4101309;Antônio Olinto;2;3;2;;2;
PR;4101408;Apucarana;5;6;5;3;6;
PR;4101507;Arapongas;3;2;5;;7;
PR;4101606;Arapoti;2;4;3;3;3;
PR;4101655;Arapuã;2;1;2;2;2;
PR;4101705;Araruna;2;3;3;1;2;
PR;4101804;Araucária;4;2;;7;7;
PR;4101853;Ariranha do Ivaí;2;2;3;2;3;
PR;4101903;Assaí;6;3;3;3;6;
PR;4102000;Assis Chateaubriand;3;2;3;1;2;
PR;4102109;Astorga;2;3;2;2;4;
PR;4102208;Atalaia;4;2;2;2;2;
PR;4102307;Balsa Nova;2;4;3;2;3;
PR;4102406;Bandeirantes;3;3;3;4;2;
PR;4102505;Barbosa Ferraz;4;3;3;;3;
PR;4102604;Barracão;2;3;2;3;3;
PR;4102703;Barra do Jacaré;3;3;3;2;3;
PR;4102752;Bela Vista da Caroba;2;2;2;2;2;
PR;4102802;Bela Vista do Paraíso;3;3;2;2;2;
PR;4102901;Bituruna;2;4;4;2;3;
PR;4103008;Boa Esperança;2;1;2;2;2;
PR;4103024;Boa Esperança do Iguaçu;2;2;1;2;2;
PR;4103040;Boa Ventura de São Roque;2;2;2;2;2;
PR;4103057;Boa Vista da Aparecida;3;3;2;2;2;
PR;4103107;Bocaiúva do Sul;4;4;4;2;4;
PR;4103156;Bom Jesus do Sul;2;1;2;1;2;
PR;4103206;Bom Sucesso;2;4;2;3;3;
PR;4103222;Bom Sucesso do Sul;3;;1;2;1;
PR;4103305;Borrazópolis;4;3;2;2;2;
PR;4103354;Braganey;3;2;2;4;2;
PR;4103370;Brasilândia do Sul;2;2;2;1;2;
PR;4103404;Cafeara;2;1;3;2;2;
PR;4103453;Cafelândia;2;2;2;3;3;
PR;4103479;Cafezal do Sul;2;2;2;2;1;
PR;4103503;Califórnia;2;3;3;2;2;
PR;4103602;Cambará;3;2;2;2;5;
PR;4103701;Cambé;5;4;;3;6;
PR;4103800;Cambira;3;3;3;5;2;
PR;4103909;Campina da Lagoa;3;1;3;3;3;
PR;4103958;Campina do Simão;4;2;2;2;4;
PR;4104006;Campina Grande do Sul;3;4;4;2;4;
PR;4104055;Campo Bonito;2;3;2;3;2;
PR;4104105;Campo do Tenente;3;2;3;4;2;
PR;4104204;Campo Largo;3;5;;4;6;
PR;4104253;Campo Magro;4;3;6;4;3;
PR;4104303;Campo Mourão;4;2;3;;3;
PR;4104402;Cândido de Abreu;2;3;3;2;3;
PR;4104428;Candói;1;3;5;2;3;
PR;4104451;Cantagalo;3;4;2;5;3;
PR;4104501;Capanema;2;2;2;2;5;
PR;4104600;Capitão Leônidas Marques;2;3;2;2;4;
PR;4104659;Carambeí;3;2;3;4;5;
PR;4104709;Carlópolis;3;4;3;3;2;
PR;4104808;Cascavel;4;7;8;7;8;
PR;4104907;Castro;3;4;5;3;2;
PR;4105003;Catanduvas;2;3;1;3;1;
PR;4105102;Centenário do Sul;2;3;2;2;3;
PR;4105201;Cerro Azul;2;2;2;2;3;
PR;4105300;Céu Azul;2;3;;2;5;
PR;4105409;Chopinzinho;2;2;2;2;2;
PR;4105508;Cianorte;3;2;2;4;5;
PR;4105607;Cidade Gaúcha;1;2;2;1;2;
PR;4105706;Clevelândia;2;3;4;3;3;
PR;4105805;Colombo;2;2;;4;6;
PR;4105904;Colorado;3;3;4;3;3;
PR;4106001;Congonhinhas;3;2;2;2;3;
PR;4106100;Conselheiro Mairinck;3;2;4;3;3;
PR;4106209;Contenda;4;3;3;2;4;
PR;4106308;Corbélia;2;2;3;3;1;
PR;4106407;Cornélio Procópio;4;3;3;3;3;
PR;4106456;Coronel Domingos Soares;3;3;3;;4;
PR;4106506;Coronel Vivida;3;2;2;2;3;
PR;4106555;Corumbataí do Sul;3;4;3;2;3;
PR;4106571;Cruzeiro do Iguaçu;1;2;2;;3;
PR;4106605;Cruzeiro do Oeste;4;5;2;4;6;
PR;4106704;Cruzeiro do Sul;2;2;2;3;3;
PR;4106803;Cruz Machado;3;1;4;2;7;
PR;4106852;Cruzmaltina;2;2;3;3;2;
PR;4106902;Curitiba;12;8;8;;15;
PR;4107009;Curiúva;3;2;;2;3;
PR;4107108;Diamante do Norte;4;1;3;3;3;
PR;4107124;Diamante do Sul;3;2;2;2;3;
PR;4107157;Diamante D'Oeste;2;2;2;2;2;
PR;4107207;Dois Vizinhos;3;2;2;3;5;
PR;4107256;Douradina;2;1;2;3;3;
PR;4107306;Doutor Camargo;2;1;2;2;3;
